,charity_name,city,state,zipcodes
125,Leave No Trace Center For Outdoor Ethics,Boulder,CO,80304
126,Left Hand Foundation,Boulder,CO,80304
127,Lemon Sponge Cake Contemporary Ballet,Boulder,CO,80304
128,Lhadrima Foundation Inc,Boulder,CO,80304
129,Living Systems Academy,Boulder,CO,80304
130,Luca Media Collective,Boulder,CO,80304
131,Mackenzie Winslows Storytellers Initiative,Boulder,CO,80304
132,Macon & Regina Cowles Foundation,Boulder,CO,80304
133,Making Our Voices Effective Inc,Boulder,CO,80304
134,Mapleton Home Association,Boulder,CO,80304
135,Media In The Public Interest Inc,Boulder,CO,80304
136,Mero Sathi Nepal,Boulder,CO,80304
137,Millenia Music Inc,Boulder,CO,80304
138,Miracle Fund Inc,Boulder,CO,80304
139,Motus Theater,Boulder,CO,80304
140,Mount Zion Lutheran Church & School,Boulder,CO,80304
141,Mountain Flower Urban Goat Dairy,Boulder,CO,80304
142,Namaste Solar Foundation Inc,Boulder,CO,80304
143,Namdrol Ling,Boulder,CO,80304
144,Nami Boulder County Inc,Boulder,CO,80304
145,Natural Transitions Funeral Guidance,Boulder,CO,80304
146,New Horizons School,Boulder,CO,80304
147,Nobo Art District,Boulder,CO,80304
148,Northern Star Charities,Boulder,CO,80304
149,One Act A Day,Boulder,CO,80304
151,Osho Zeenat Foundation,Boulder,CO,80304
152,Passageways Institute Inc,Boulder,CO,80304
153,Path Of The Heart,Boulder,CO,80304
154,Peace Lutheran Church,Boulder,CO,80304
155,People S Climate Of Colorado Incorporated,Boulder,CO,80304
156,Philanthropy Project,Boulder,CO,80304
157,Pine Brook Hills Community Fund,Boulder,CO,80304
158,Pine Brook Hills Homeowners Association Inc,Boulder,CO,80304
159,Piste Foundation,Boulder,CO,80304
160,Pp3cloud,Boulder,CO,80304
161,Protect Our Winters,Boulder,CO,80304
164,Qalandar School,Boulder,CO,80304
165,Reachout Crestview,Boulder,CO,80304
166,Reclaimtheamericandreamorg,Boulder,CO,80304
167,Recovery Trust,Boulder,CO,80304
168,Richard And Joan Ringoen Family Foundation Inc,Boulder,CO,80304
169,Ridgeview Fund,Boulder,CO,80304
170,Right Use Of Power Institute,Boulder,CO,80304
171,Rocky Mountain Chorale,Boulder,CO,80304
172,Rocky Mountain Church Of Christ Of Boulder,Boulder,CO,80304
173,Rocky Mountain Climbers Club Of Colorado,Boulder,CO,80304
174,Rocky Mountain Peace And Justice Center,Boulder,CO,80304
175,Rocky Ridge Music Center Foundation,Boulder,CO,80304
176,Round Window Institute,Boulder,CO,80304
177,Sadhana Ashram Inc C/o Steve Sabine,Boulder,CO,80304
178,Safehouse Progressive Alliance For Nonviolence Inc,Boulder,CO,80304
179,Satori Institute,Boulder,CO,80304
180,School Of Eating Good,Boulder,CO,80304
181,Seeds Of Wellness Inc,Boulder,CO,80304
182,Shanti Childrens Foundation,Boulder,CO,80304
183,Sibinacocha Watershed Project,Boulder,CO,80304
184,Siddha Yoga Dham Boulder Inc,Boulder,CO,80304
185,Snow Lion School,Boulder,CO,80304
186,Society Boulder,Boulder,CO,80304
187,Solstice Institute,Boulder,CO,80304
188,Southwest Energy Efficiency Project Llc,Boulder,CO,80304
189,Spiritual Assembly Of The Bahais Of Boulder,Boulder,CO,80304
190,Sprinces Wong Fam Foundation,Boulder,CO,80304
191,Spring Valley Mutual Water Association,Boulder,CO,80304
192,St Peters Church Inc,Boulder,CO,80304
193,Stan Mckee Reading Foundation Inc,Boulder,CO,80304
194,Star Inspired Foundation,Boulder,CO,80304
195,Starting Line Foundation,Boulder,CO,80304
196,Student And Education Support Association Inc,Boulder,CO,80304
197,Subud United States Of America,Boulder,CO,80304
198,Sustainable Alliances Inc,Boulder,CO,80304
199,Sustainable Schools International,Boulder,CO,80304
200,Swift Cycling,Boulder,CO,80304
201,Taps Are Talking Inc,Boulder,CO,80304
202,Tara Institute Of The Performing Arts Incorporated,Boulder,CO,80304
203,Tesseract Productions,Boulder,CO,80304
204,The Caruso Foundation,Boulder,CO,80304
205,The Cohousing Association Of The Us,Boulder,CO,80304
206,The International Wilderness Leadership Foundation Inc,Boulder,CO,80304
207,Tiegs Foundation Inc,Boulder,CO,80304
208,Tikkun,Boulder,CO,80304
211,Udiyan Maitreya Kosha,Boulder,CO,80304
212,United States Power Squadrons,Boulder,CO,80304
213,Unity Of Boulder,Boulder,CO,80304
214,Urban River Society Incorporated,Boulder,CO,80304
215,Village Dreams,Boulder,CO,80304
216,Waldorf School Association Of Boulder Inc,Boulder,CO,80304
217,Warmshowers Org,Boulder,CO,80304
218,Watershed School Inc,Boulder,CO,80304
219,Weatherspoon Charitable Foundation,Boulder,CO,80304
220,Windhorse Guild Inc,Boulder,CO,80304
221,Wisdom Factors International,Boulder,CO,80304
222,Women Work Together,Boulder,CO,80304
223,Wright Family Foundation,Boulder,CO,80304
224,Wright Paleohydrological Institute,Boulder,CO,80304
225,Zenko International,Boulder,CO,80304
226,Acres Of Hope,Longmont,CO,80503
227,American Association Of University Women,Longmont,CO,80503
228,American Volkssport Association Inc,Longmont,CO,80503
229,Apostolic Church In Jesus Name,Longmont,CO,80503
230,Asian-pacific Association Of Longmont,Longmont,CO,80503
231,Aspen Leaf Foundation,Longmont,CO,80503
232,Believe Ranch And Rescue,Longmont,CO,80503
233,Benevolence Retreat Society,Longmont,CO,80503
234,Beth Ami,Longmont,CO,80503
235,Blacks In Government,Longmont,CO,80503
236,Boco Baseball Inc,Longmont,CO,80503
237,Bodhisattva International Institute,Longmont,CO,80503
238,Boulder Alano Club,Longmont,CO,80503
239,Boulder Area Alumnae Panhellenic Philanthropy,Longmont,CO,80503
240,Boulder Broomfield Foster Adoptive Family Association,Longmont,CO,80503
241,Brotherhood Of Locomotive Engineers And Trainmen,Longmont,CO,80503
242,Burrell Family Foundation,Longmont,CO,80503
243,C R E A T E Globally,Longmont,CO,80503
244,Cameroon Development Fund Inc,Longmont,CO,80503
245,Caring About People,Longmont,CO,80503
246,Catte Inc,Longmont,CO,80503
247,Centre For Rural Development - Africa,Longmont,CO,80503
248,Church Of Inner Light,Longmont,CO,80503
249,Cleft Of The Rock,Longmont,CO,80503
250,Colorado Horse Rescue,Longmont,CO,80503
251,Colorado Tennis Cricket League,Longmont,CO,80503
252,Commonsensetodayorg,Longmont,CO,80503
253,Country Dance & Song Society Inc,Longmont,CO,80503
254,Deep Water Soul Care,Longmont,CO,80503
255,Delta Kappa Gamma Society,Longmont,CO,80503
256,Delta Kappa Gamma Society International,Longmont,CO,80503
257,Desiderata Educational Resource And Research Corporation,Longmont,CO,80503
258,Dodge Family Fund,Longmont,CO,80503
259,Don And Carol Schmidgall Family Foundation Inc,Longmont,CO,80503
260,Dr C W Bixler Family Foundation,Longmont,CO,80503
261,Druidawn Academy Inc,Longmont,CO,80503
262,Drylands Agroecology Research Foundation,Longmont,CO,80503
263,E4 Project Inc,Longmont,CO,80503
264,Eagle Crest Elementary Parent Teacher Organization,Longmont,CO,80503
265,Earth Tribe Ranch,Longmont,CO,80503
266,Elim Tabernacle Of Christ,Longmont,CO,80503
267,Fairy Ring Garden Inc,Longmont,CO,80503
268,Familia A Familia,Longmont,CO,80503
269,Firehouse Ministries Llc,Longmont,CO,80503
270,Foundation For A Better Economy,Longmont,CO,80503
271,Friends Of Vance Brand Airport Inc,Longmont,CO,80503
272,From Nest To Wings Inc,Longmont,CO,80503
273,Front Range Hippotherapy Inc,Longmont,CO,80503
274,Front Range Orthopedic Foundation,Longmont,CO,80503
275,Gafner Family Foundation,Longmont,CO,80503
276,Garden Bloggers Fling Of Denver,Longmont,CO,80503
277,Grace Evangelical Free Church Of Longmont Co,Longmont,CO,80503
278,Grassroots St Vrain Inc,Longmont,CO,80503
279,Hakes Wiland Christian Foundation,Longmont,CO,80503
280,Health And Ed 4 Nepal Inc,Longmont,CO,80503
281,Hoe And Hope Garden Club Inc,Longmont,CO,80503
282,Home Ownership Preservation Centerfor The Disabled,Longmont,CO,80503
283,Hover Community Inc,Longmont,CO,80503
284,Hover Village Inc,Longmont,CO,80503
285,Hygiene Pto Inc,Longmont,CO,80503
286,Indigo Foundation,Longmont,CO,80503
287,Institute For Experiential Brainbody Research,Longmont,CO,80503
288,Integrity Foundation Inc,Longmont,CO,80503
289,International Association Of Lions Clubs,Longmont,CO,80503
290,Join A Revolution Educate Drummers And Other Musicians,Longmont,CO,80503
291,Jon Rudolph Memorial Foundation,Longmont,CO,80503
292,Katherine And Charles Hover Green Houses Inc,Longmont,CO,80503
293,Knick O Time Horse Rescue And Rehabilitation,Longmont,CO,80503
295,Lake Ditch Co,Longmont,CO,80503
296,Lebor Family Foundation Inc,Longmont,CO,80503
297,Left Hand Valley Lake Association,Longmont,CO,80503
298,Lets Be Ready,Longmont,CO,80503
299,Longmont Astronomical Society,Longmont,CO,80503
300,Longmont Christian Fellowship,Longmont,CO,80503
301,Longmont Estates Elementary School Pto,Longmont,CO,80503
302,Longmont Food Rescue,Longmont,CO,80503
303,Longmont Youth Sports Organization,Longmont,CO,80503
304,Longmont Zephyrs Inc,Longmont,CO,80503
305,M I T Alumni Of Colorado,Longmont,CO,80503
306,Magic Classrooms,Longmont,CO,80503
307,Mentoring The Youth Foundation Inc,Longmont,CO,80503
308,Metro West Minnesota Branch Of The American Association Of University,Longmont,CO,80503
309,Milas Miracle Foundation Inc,Longmont,CO,80503
310,Milonee Of Colorado,Longmont,CO,80503
311,Mindfulness Peace Project,Longmont,CO,80503
312,Moms Club,Longmont,CO,80503
313,Natural Capitalism Solutions Inc,Longmont,CO,80503
314,Navy Seabee Veterans Of America,Longmont,CO,80503
315,New Hinman Ditch Company,Longmont,CO,80503
316,Next Wave Foundation,Longmont,CO,80503
317,Niwot Baseball Inc,Longmont,CO,80503
318,Niwot Elementary School Parent Teacher Advisory Council Inc,Longmont,CO,80503
319,Niwot Softball Inc,Longmont,CO,80503
320,Orley And Sheila Paxton Fundation,Longmont,CO,80503
321,Paid In Full Ministries Inc,Longmont,CO,80503
322,Parenteral Drug Association Inc,Longmont,CO,80503
