,assets,income,expenses,irs_form
80,"$590,652 ","$2,057,891 ","$1,905,401 ",http://www.guidestar.org/FinDocuments/2017/841/303/2017-841303335-0f6bc873-9.pdf
81,"$208,869 ","$154,693 ","$169,138 ",http://www.guidestar.org/FinDocuments/2016/522/444/2016-522444709-0e607ec4-Z.pdf
82,,,,
83,"$79,286 ","$71,470 ",,http://www.guidestar.org/FinDocuments/2016/542/110/2016-542110334-0e5a7f0b-Z.pdf
84,"$158,357 ","$232,105 ","$177,062 ",http://www.guidestar.org/ViewEdoc.aspx?eDocId=4276082&approved=True
85,,,,
86,"$36,354 ","$108,366 ",,http://www.guidestar.org/FinDocuments/2016/461/341/2016-461341252-0e9e3468-Z.pdf
87,$25 ,"$122,067 ",,http://www.guidestar.org/FinDocuments/2016/462/148/2016-462148950-0ea0d1a7-F.pdf
88,,,,
89,"$30,467 ","$18,395 ",,http://www.guidestar.org/FinDocuments/2016/770/621/2016-770621166-0e3c45e3-Z.pdf
90,"$146,545 ","$203,223 ",,http://www.guidestar.org/FinDocuments/2017/840/586/2017-840586417-0eb5f278-9.pdf
91,,,,
92,"$84,324 ","$523,694 ","$28,674 ",http://www.guidestar.org/FinDocuments/2016/481/278/2016-481278766-0e4319bf-9.pdf
93,,,,http://www.guidestar.org/FinDocuments/2015/473/192/2015-473192732-0c9c8ddf-Z.pdf
94,,,,
95,"$621,335 ","$950,140 ","$725,068 ",http://www.guidestar.org/FinDocuments/2016/208/474/2016-208474909-0e1cb712-9.pdf
96,"$82,603 ","$172,772 ",,http://www.guidestar.org/FinDocuments/2017/841/512/2017-841512387-0eb8a39e-Z.pdf
97,"$112,522 ","$137,200 ",,http://www.guidestar.org/FinDocuments/2017/812/663/2017-812663346-0e34f9c0-Z.pdf
98,,,,http://www.guidestar.org/FinDocuments/2015/352/432/2015-352432846-0d4055a6-Z.pdf
99,,,,
100,,,,
101,,,,
102,,,,
103,"$201,078 ","$125,307 ",,http://www.guidestar.org/FinDocuments/2016/742/302/2016-742302470-0e836919-Z.pdf
104,"$1,045,132 ","$759,813 ","$552,524 ",http://www.guidestar.org/FinDocuments/2017/846/035/2017-846035931-0eff03e2-9.pdf
105,"$3,977,240 ","$2,069,993 ","$1,786,927 ",http://www.guidestar.org/ViewEdoc.aspx?eDocId=4287950&approved=True
106,$363 ,"$3,247 ",,http://www.guidestar.org/FinDocuments/2016/475/170/2016-475170221-0e386237-Z.pdf
107,"$89,738 ","$130,699 ",,http://www.guidestar.org/FinDocuments/2017/800/566/2017-800566589-0ede82d7-Z.pdf
