,assets,income,expenses,irs_form
324,"$2,536,043 ","$2,951,430 ","$2,164,334 ",https://www.guidestar.org/FinDocuments/2017/237/303/2017-237303107-0efe6c60-9.pdf
325,"$21,414 ","$41,957 ","$44,861 ",https://www.guidestar.org/FinDocuments/2005/840/637/2005-840637820-026676cf-Z.pdf
326,"$5,240,570 ","$277,406 ","$438,807 ",https://www.guidestar.org/FinDocuments/2016/841/467/2016-841467131-0d98db58-F.pdf
327,"$5,000,000.00 ","$5,000,000.00 ",,https://www.guidestar.org/FinDocuments/2016/814/697/2016-814697711-0e8d7b24-F.pdf
328,,,,
329,,,,
330,,$89.99 ,$89.99 ,https://www.guidestar.org/FinDocuments/2009/010/613/2009-010613580-05f3f974-F.pdf
331,,,,
332,"$7,762,271.00 ","$4,742,480.00 ","$28,326.00 ",https://www.guidestar.org/FinDocuments/2017/742/249/2017-742249366-0ee8289a-9.pdf
333,"$92,891.44 ","$99,659.33 ","$42,888.68 ",https://www.guidestar.org/FinDocuments/2016/461/370/2016-461370418-0dd05c2c-Z.pdf
334,"$334,971.00 ","$1,897,082.00 ","$58,656.00 ",https://www.guidestar.org/FinDocuments/2016/841/600/2016-841600705-0df7a5ad-9.pdf
335,"$44,317.00 ","$137,063.00 ","$143,109.00 ",https://www.guidestar.org/FinDocuments/2016/841/541/2016-841541905-0e941fdd-Z.pdf
336,"$2,038,580.00 ","$77,881.00 ","$15,874.00 ",https://www.guidestar.org/FinDocuments/2017/841/519/2017-841519941-0ee58394-F.pdf
337,"$45,428.00 ","$36,046.00 ","$34,100.00 ",https://www.guidestar.org/FinDocuments/2015/742/505/2015-742505383-0c74d787-Z.pdf
338,,,,
339,,,,
340,"$1,981.00 ","$6,497.00 ","$7,226.00 ",https://www.guidestar.org/FinDocuments/2015/473/934/2015-473934531-0c82635a-Z.pdf
341,"$79,275.00 ","$120,523.00 ","$51,077.00 ",https://www.guidestar.org/FinDocuments/2017/814/912/2017-814912815-0f1996e3-F.pdf
342,,,,
343,"$3,376.00 ","$41,740.00 ","$41,272.00 ",https://www.guidestar.org/FinDocuments/2015/611/727/2015-611727170-0d02d9bd-Z.pdf
344,,,,
345,,,,
346,"$56,821.00 ","$37,096.00 ","$31,200.00 ",https://www.guidestar.org/FinDocuments/2017/273/033/2017-273033053-0f514fa9-Z.pdf
347,,,,
348,,,,
349,"$2,705,842.00 ","$221,494.00 ","$132,459.00 ",https://www.guidestar.org/FinDocuments/2016/841/095/2016-841095741-0e493819-9.pdf
350,,,,
351,,,,
352,"$100,021.00 ","$363,310.00 ","$323,158.00 ",https://www.guidestar.org/FinDocuments/2016/274/190/2016-274190013-0e944c3f-9.pdf
353,"$29,029.82 ","$50,916.98 ","$66,763.53 ",https://www.guidestar.org/FinDocuments/2016/841/520/2016-841520672-0d362427-Z.pdf
354,,,,
355,,,,
356,,,,
357,"$89,207.00 ","$172,040.00 ","$112,251.00 ",https://www.guidestar.org/FinDocuments/2016/205/577/2016-205577649-0e88f185-9.pdf
358,$528.00 ,,,https://www.guidestar.org/FinDocuments/2016/452/474/2016-452474083-0ed2df57-Z.pdf
359,,,,
360,,,,
361,"$122,716.00 ","$156,129.00 ","$230,775.00 ",https://www.guidestar.org/FinDocuments/2016/262/471/2016-262471687-0e975a90-9.pdf
362,,,,
363,"$3,229,149.00 ","$2,084,249.00 ","$148,552.00 ",https://www.guidestar.org/FinDocuments/2017/840/890/2017-840890971-0eeb195f-9.pdf
364,"$10,187.00 ","$52,021.00 ","$55,742.00 ",https://www.guidestar.org/FinDocuments/2012/841/301/2012-841301934-09036d95-Z.pdf
365,,,,
366,$831.00 ,"$1,043.00 ","$11,024.00 ",https://www.guidestar.org/FinDocuments/2009/202/291/2009-202291031-06061654-Z.pdf
367,$802.00 ,"$42,122.00 ","$48,715.00 ",https://www.guidestar.org/FinDocuments/2015/472/274/2015-472274700-0ca9a7a0-Z.pdf
368,,,,
369,,,,
370,"$41,740.00 ","$55,976.00 ",,
371,,,,
372,"$793,171.00 ","$2,297,226.00 ","$155,601.00 ",https://www.guidestar.org/FinDocuments/2016/141/901/2016-141901877-0e49cfbe-9.pdf
373,,,,
374,,,,
375,$10.00 ,"$52,409.00 ","$52,629.00 ",https://www.guidestar.org/FinDocuments/2015/841/277/2015-841277836-0cd397e5-Z.pdf
376,,,,
377,"$4,342.00 ",,,https://www.guidestar.org/FinDocuments/2017/311/612/2017-311612027-0f1c727d-F.pdf
378,,,,
379,"$8,973,823.00 ","$289,877.00 ","$51,291.00 ",https://www.guidestar.org/FinDocuments/2016/841/440/2016-841440983-0ed57d8f-F.pdf
380,,,,
381,"$25,928.00 ","$49,056.00 ","$43,373.00 ",https://www.guidestar.org/FinDocuments/2016/841/611/2016-841611028-0e30af9a-Z.pdf
382,,,,
383,"$74,237.00 ","$72,045.00 ","$55,691.00 ",https://www.guidestar.org/FinDocuments/2016/800/399/2016-800399889-0e386d5e-Z.pdf
384,"$152,163.00 ","$261,668.00 ","$247,867.00 ",https://www.guidestar.org/FinDocuments/2017/010/814/2017-010814316-0f1b4e47-9.pdf
385,"$9,989.00 ","$32,703.00 ","$40,282.00 ",https://www.guidestar.org/FinDocuments/2016/204/928/2016-204928546-0e3d45d1-Z.pdf
386,,,,
387,,,,
388,"$40,784.00 ","$37,018.00 ","$54,161.00 ",https://www.guidestar.org/FinDocuments/2016/840/863/2016-840863951-0d9fcebc-Z.pdf
389,"$25,620.00 ","$20,287.00 ","$19,649.00 ",https://www.guidestar.org/FinDocuments/2017/202/884/2017-202884718-0efea2bb-ZO.pdf
390,"$3,399,454.00 ","$1,568,630.00 ","$646,718.00 ",https://www.guidestar.org/FinDocuments/2016/841/545/2016-841545163-0ecb85e0-9.pdf
391,,,,
392,,,,
393,,,,
394,,,,
395,"$22,514,809.00 ","$4,375,502.00 ","$166,693.00 ",https://www.guidestar.org/FinDocuments/2015/841/524/2015-841524399-0c90c47e-F.pdf
396,"$1,080,465.00 ","$1,385,152.00 ","$996,587.00 ",https://www.guidestar.org/FinDocuments/2016/451/556/2016-451556648-0e21773f-9.pdf
397,"$107,220.00 ","$407,760.00 ","$88,008.00 ",https://www.guidestar.org/FinDocuments/2016/475/267/2016-475267002-0e6f03d3-9.pdf
398,,,,
399,"$33,476.00 ","$20,000.00 ",$174.00 ,https://www.guidestar.org/FinDocuments/2016/271/058/2016-271058430-0e00940d-Z.pdf
400,"$558,220.00 ","$702,195.00 ","$186,441.00 ",https://www.guidestar.org/FinDocuments/2017/465/399/2017-465399558-0e5c7e9b-9.pdf
401,"$243,367.00 ","$7,165.00 ",$935.00 ,https://www.guidestar.org/FinDocuments/2010/841/183/2010-841183439-07309f85-Z.pdf
402,"$1,675.00 ","$1,675.00 ",,https://www.guidestar.org/FinDocuments/2014/841/173/2014-841173215-0bf75c60-Z.pdf
403,,,,
404,"$3,563.89 ","$62,069.81 ","$70,160.78 ",https://www.guidestar.org/FinDocuments/2010/841/484/2010-841484169-065856d2-ZO.pdf
405,,,,
406,"$44,273.00 ","$500,981.00 ","$35,115.00 ",https://www.guidestar.org/FinDocuments/2016/591/768/2016-591768923-0ed15948-9.pdf
407,"$1,010.00 ",,,https://www.guidestar.org/FinDocuments/2015/455/178/2015-455178179-0c9ef9f0-F.pdf
408,,,,
409,"$8,358.00 ","$93,466.00 ","$86,885.00 ",https://www.guidestar.org/FinDocuments/2016/272/034/2016-272034873-0e04ad14-Z.pdf
410,,,,
411,,,,
412,"$1,531,705.00 ","$2,025,920.00 ","$107,315.00 ",https://www.guidestar.org/FinDocuments/2017/840/571/2017-840571145-0f097436-9.pdf
413,"$17,089.00 ","$24,783.00 ",,
414,"$2,350,664.00 ","$9,386,353.00 ","$1,715,901.00 ",https://www.guidestar.org/FinDocuments/2017/275/083/2017-275083595-0f1e178f-9.pdf
415,,,,
416,,,,
417,"$18,620.00 ","$14,446.00 ","$17,589.00 ",https://www.guidestar.org/FinDocuments/2015/264/235/2015-264235797-0cdb9ac0-Z.pdf
418,"$912,559.00 ","$4,048,687.00 ","$4,046,320.00 ",https://www.guidestar.org/FinDocuments/2016/840/152/2016-840152700-0e8ecee1-9O.pdf
419,"$83,440.00 ","$76,946.00 ","$73,342.00 ",https://www.guidestar.org/FinDocuments/2017/453/623/2017-453623399-0f050f1c-Z.pdf
420,,,,
421,"$863,940.00 ","$1,194,353.00 ","$1,257,006.00 ",https://www.guidestar.org/FinDocuments/2016/742/442/2016-742442032-0e57ed53-9.pdf
422,"$227,392.00 ","$264,242.00 ","$261,182.00 ",https://www.guidestar.org/FinDocuments/2017/840/573/2017-840573252-0e7c2ef7-9O.pdf
423,,,,
424,"$196,296.00 ","$1,001,996.00 ","$998,723.00 ",https://www.guidestar.org/FinDocuments/2016/841/084/2016-841084357-0ec47a42-9O.pdf
425,"$1,857,815.00 ","$854,361.00 ","$986,032.00 ",https://www.guidestar.org/FinDocuments/2016/840/446/2016-840446349-0ea18511-9.pdf
